CodSite,lat,long,abundance,habitat,spp
area5,-22.616667,-43.883333,11,Montane Seasonal Atlantic Forest ,Astrocaryum aculeatissimum
area1,-20.798333,-41.292778,89,Submontane Seasonal Atlantic Forest,Astronium concinnum
area6,-19.616667,-43.4,2,Montane Seasonal Atlantic Forest ,Astronium fraxinifolium
area1,-20.798333,-41.292778,29,Submontane Seasonal Atlantic Forest,Astronium graveolens
area3,-22.7222082,-42.628058,5,Submontane Dense Ombrophilous Atlantic Forest ,Astronium graveolens
area5,-22.616667,-43.883333,5,Montane Seasonal Atlantic Forest ,Astronium graveolens
area3,-22.7222082,-42.628058,1,Submontane Dense Ombrophilous Atlantic Forest ,Aureliana fasciculata
area8,-20.673889,-40.393889,7,Submontane Dense Ombrophilous Atlantic Forest ,Bactris vulgaris
area7,-7.633333,-35.5,4,Montane Dense Ombrophilous Atlantic Forest ,Banara brasiliensis
area12,-27.816111,-50.324167,51,Mixed Ombrophilous Atlantic Forest,Banara tomentosa
area2,-22.528333,-50.715556,4,Montane Dense Ombrophilous Atlantic Forest ,Barnebya dispar
area1,-20.798333,-41.292778,13,Submontane Seasonal Atlantic Forest,Basiloxylon brasiliensis
area3,-22.7222082,-42.628058,2,Submontane Dense Ombrophilous Atlantic Forest ,Bathysa australis
area4,-28.733333,-49.75,114,Montane Dense Ombrophilous Atlantic Forest ,Bathysa australis
area5,-22.616667,-43.883333,1,Montane Seasonal Atlantic Forest ,Bathysa australis
area3,-22.7222082,-42.628058,2,Submontane Dense Ombrophilous Atlantic Forest ,Bathysa mendoncaei
area2,-22.528333,-50.715556,3,Montane Dense Ombrophilous Atlantic Forest ,Bathysa stipulata
area5,-22.616667,-43.883333,1,Montane Seasonal Atlantic Forest ,Bauhinia forficata
area9,-8.032611,-35.192125,1,Lowlands Seasonal Atlantic Forest ,Bauhinia membranacea
area2,-22.528333,-50.715556,2,Montane Dense Ombrophilous Atlantic Forest ,Beilschmiedia emarginata
area3,-22.7222082,-42.628058,1,Submontane Dense Ombrophilous Atlantic Forest ,Beilschmiedia fluminensis
area2,-22.528333,-50.715556,1,Montane Dense Ombrophilous Atlantic Forest ,Beilschmiedia stricta
area10,-21.999167,-43.890833,20,Montane Dense Ombrophilous Atlantic Forest ,Beilschmiedia taubertiana
area6,-19.616667,-43.4,12,Montane Seasonal Atlantic Forest ,Beilschmiedia vestita
area12,-27.816111,-50.324167,6,Mixed Ombrophilous Atlantic Forest,Blepharocalyx salicifolius
area7,-7.633333,-35.5,2,Montane Dense Ombrophilous Atlantic Forest ,Bowdichia virgilioides
area9,-8.032611,-35.192125,2,Lowlands Seasonal Atlantic Forest ,Bowdichia virgilioides
area13,-8.016667,-35.174167,15,Lowlands Dense Ombrophilous Atlantic Forest ,Bowdichia virgilioides
area13,-8.016667,-35.174167,2,Lowlands Dense Ombrophilous Atlantic Forest ,Brosimum gaudichaudii
area2,-22.528333,-50.715556,1,Montane Dense Ombrophilous Atlantic Forest ,Brosimum glaziovii
area3,-22.7222082,-42.628058,6,Submontane Dense Ombrophilous Atlantic Forest ,Brosimum guianense
area5,-22.616667,-43.883333,3,Montane Seasonal Atlantic Forest ,Brosimum guianense
area6,-19.616667,-43.4,2,Montane Seasonal Atlantic Forest ,Brosimum guianense
area9,-8.032611,-35.192125,84,Lowlands Seasonal Atlantic Forest ,Brosimum guianense
area13,-8.016667,-35.174167,33,Lowlands Dense Ombrophilous Atlantic Forest ,Brosimum guianense
area13,-8.016667,-35.174167,1,Lowlands Dense Ombrophilous Atlantic Forest ,Brosimum guianense
area8,-20.673889,-40.393889,1,Submontane Dense Ombrophilous Atlantic Forest ,Buchenavia capitata
area6,-19.616667,-43.4,2,Montane Seasonal Atlantic Forest ,Buchenavia hoehneana
area6,-19.616667,-43.4,1,Montane Seasonal Atlantic Forest ,Buchenavia tetraphylla
area7,-7.633333,-35.5,1,Montane Dense Ombrophilous Atlantic Forest ,Buchenavia tetraphylla
area8,-20.673889,-40.393889,17,Submontane Dense Ombrophilous Atlantic Forest ,Byrsonima bahiana
area7,-7.633333,-35.5,3,Montane Dense Ombrophilous Atlantic Forest ,Byrsonima crispa
area11,-21.976389,-43.878889,2,Montane Cloud Atlantic Forest,Byrsonima lancifolia
area10,-21.999167,-43.890833,5,Montane Dense Ombrophilous Atlantic Forest ,Byrsonima laxiflora
area10,-21.999167,-43.890833,5,Montane Dense Ombrophilous Atlantic Forest ,Byrsonima myricifolia
area6,-19.616667,-43.4,4,Montane Seasonal Atlantic Forest ,Byrsonima sericea
area7,-7.633333,-35.5,5,Montane Dense Ombrophilous Atlantic Forest ,Byrsonima sericea
area9,-8.032611,-35.192125,1,Lowlands Seasonal Atlantic Forest ,Byrsonima sericea
area13,-8.016667,-35.174167,1,Lowlands Dense Ombrophilous Atlantic Forest ,Byrsonima sericea
area3,-22.7222082,-42.628058,19,Submontane Dense Ombrophilous Atlantic Forest ,Cabralea canjerana
